Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter),Cast ID,Device,File name,Cast time (UTC),Cast time (local),Sample type,Cast data,Location source,Default latitude,Default altitude,Start latitude,Start longitude,Start altitude,Start GPS horizontal error(Meter),Start GPS vertical error(Meter),Start GPS number of satellites,End latitude,End longitude,End altitude,End GPS horizontal error(Meter),End GPS vertical error(Meter),End GPS number of satellites,Cast duration (Seconds),Samples per second,Electronics calibration date,Conductivity calibration date,Temperature calibration date,Pressure calibration date,Dock Cluster,Dock Location,MLD
7.049999999999999,7.189974140699614,9.09674987658976,291.91524658166645,428.0690207105201,0.201817860503102,1444.0224288119189,999.969581271524,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
7.35,7.495832195156547,8.918268637048476,291.575037175933,429.8200481516464,0.2025276611842863,1443.3022611903252,999.985031836818,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
7.65,7.801683119198115,8.519224578140422,291.44058351492816,434.7364641976104,0.2045884640200796,1441.67532857551,1000.0165878133377,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
7.95,8.107525450747712,8.182930544187395,291.12234864755885,438.662806258012,0.2062057169904219,1440.292429549498,1000.0416012196366,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
8.16222638650374,8.323881871135328,8.158709526062012,291.0564880371094,438.88391948478176,0.2062911820014681,1440.1953752128693,1000.044236840609,CC2435009_20250513_195323.csv,CC2435009,CC2435009_20250513_195323,2025-05-13 19:53:23,2025-05-13 13:53:23,Cast,Processed,GPS,32,0,40.283442,-106.8537673,2189.33203125,5.506999969482422,7.002999782562256,9,40.2832954,-106.8536655,2221.95703125,33.99100112915039,49.80799865722656,8.0,22.0,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,0,Dock_1,5.0
0.15,0.1532017523387835,12.772707939147947,327.6491394042969,433.7114775198823,0.2068683932624509,1458.1766049716837,999.5699749983517,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
0.45,0.4589720086496082,12.781310660483928,327.4338213004358,433.327769175176,0.2066844650292068,1458.2130746296732,999.570175293356,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
0.7499999999999998,0.7649531146002296,12.781210669321032,327.59321049829225,433.5398531369767,0.2067870671108438,1458.2176698641315,999.5716818363692,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
1.05,1.070933742145123,12.776569914416214,327.57352444145295,433.567056489749,0.2067971949037565,1458.2053370942965,999.5736813456492,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
1.35,1.376913925773886,12.776636387391852,327.32819787052966,433.2415868287538,0.206637499477164,1458.2102260871975,999.5749625570788,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
